make,model,variant,cc,seating_capacity,fuel_type,local_output,,,,,,,,,,,,,,,,,,,
HONDA,CR-V,2.4 MT,2354,5,PETROL,12623,,,,,,,,,,,,,,,,,,,
HONDA,CR-V,2.4 MT,2354,5,PETROL,12623,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,AMEO,1.5L TDI MT COMFORTLINE PLUS,1498,5,DIESEL,36811,,,,,,,,,,,,,,,,,,,
FORD,FIGO,1.2 TITANIUM SPORTS PETROL,1196,5,PETROL,36819,,,,,,,,,,,,,,,,,,,
LAMBORGHINI,AVENTADOR,S LP 740-4,6498,2,PETROL,37548,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,MONTE CARLO 1.6 MPI AT,1598,5,PETROL,37128,,,,,,,,,,,,,,,,,,,
SKODA,OCTAVIA,STYLE AT 1.8 TSI,1798,5,PETROL,36998,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,320D EDITION SPORT,1995,5,DIESEL,37726,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT,LDI (DIESEL),1248,5,DIESEL,12792,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,B2 8 SEATER,2499,8,DIESEL,33273,,,,,,,,,,,,,,,,,,,
TOYOTA MOTORS,TOYOTA RAV4,NULL,1998,5,PETROL,26261,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO,K10 LX(O),998,5,PETROL,31670,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,330i SPORT LINE,1998,5,PETROL,36720,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLE,43 4MATIC AMG COUPE,2996,5,DIESEL,36805,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LAND CRUISER,200 VX,4461,8,DIESEL,33330,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,E-CLASS,E 220 D,1950,5,DIESEL,36669,,,,,,,,,,,,,,,,,,,
MARUTI,ERTIGA,ZDI PLUS SHVS,1248,7,DIESEL,31678,,,,,,,,,,,,,,,,,,,
MARUTI,BALENO HATCHBACK,Zeta 1.3,1248,5,DIESEL,30561,,,,,,,,,,,,,,,,,,,
BMW,5 SERIES,523I,2497,5,PETROL,32582,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,NEO 3 LT 9 Seats,2499,9,DIESEL,33286,,,,,,,,,,,,,,,,,,,
AUDI,AUDI A3 CABRIOLET,1.4 TFSI,1395,4,PETROL,37206,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,AMG,GT R,3982,2,PETROL,37209,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,AMG,GT ROADSTER,3982,2,PETROL,37208,,,,,,,,,,,,,,,,,,,
JEEP,GRAND CHEROKEE,LIMITED PETROL,3604,5,PETROL,37431,,,,,,,,,,,,,,,,,,,
BMW,6-SERIES,640 D GRAN COUPE 5 STR,2993,5,DIESEL,37398,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,1.0 PLATINUM EDITION PETROL,999,5,PETROL,35957,,,,,,,,,,,,,,,,,,,
ISUZU,D MAX,S-CAB,2499,5,DIESEL,36885,,,,,,,,,,,,,,,,,,,
MARUTI,BALENO HATCHBACK,Delta 1.2,1197,5,PETROL,30557,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,VENTO,1.2 TSI HIGHLINE PLUS AT,1197,5,PETROL,36297,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLC,220 D 4MATIC SPORT,2143,5,DIESEL,36975,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,AMBITION 1.6 MPI AT PLUS,1598,5,PETROL,36490,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN ESTILO,GREEN LX BSIV,998,5,CNG,36319,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,TIAGO,WIZZ EDITION PETROL,1199,5,PETROL,37291,,,,,,,,,,,,,,,,,,,
BMW,5 SERIES,535I,2979,5,PETROL,32580,,,,,,,,,,,,,,,,,,,
BMW,X3,3.0 Si,2987,5,PETROL,33311,,,,,,,,,,,,,,,,,,,
MARUTI,SWIFT DZIRE,ZDI,1248,5,DIESEL,12803,,,,,,,,,,,,,,,,,,,
MARUTI,DZIRE,LXI TOUR,1197,5,PETROL,37176,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO 800,DX,796,5,PETROL,31692,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,DELTA 1.4 MT,1373,5,PETROL,36253,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 20D M SPORT,1995,5,DIESEL,37522,,,,,,,,,,,,,,,,,,,
MARUTI,ALTO,K10 LX,998,5,PETROL,31671,,,,,,,,,,,,,,,,,,,
MARUTI,CELERIO,LXI AGS (O),998,5,PETROL,31683,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,NEO 3 LT 8 Seats,2499,8,DIESEL,33288,,,,,,,,,,,,,,,,,,,
MARUTI,CIAZ,SMART HYBRID SIGMA,1248,5,DIESEL,36708,,,,,,,,,,,,,,,,,,,
JEEP,WRANGLER,UNLIMITED 2.8,2799,5,DIESEL,33658,,,,,,,,,,,,,,,,,,,
MINI,COUNTRYMAN,COOPER S JCW INSPIRED,1998,5,PETROL,38881,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,ETIOS LIVA,V DUAL TONE,1197,5,PETROL,38886,,,,,,,,,,,,,,,,,,,
FORD,ECOSPORT,TITANIUM PLUS 1.5 Ti-VCT AT,1497,5,PETROL,37584,,,,,,,,,,,,,,,,,,,
AUDI,TT COUPE,TT COUPE,3189,4,PETROL,32603,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,NY ELITE LT L2 8 SEATER,2499,8,DIESEL,33272,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LAND CRUISER,NULL,4500,5,DIESEL,20525,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN,3 DOOR,993,5,PETROL,31673,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN,CLASSIC,993,5,PETROL,31674,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,PASSAT,HIGHLINE,1968,5,DIESEL,37387,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LEXUS LX,450 D,4461,5,DIESEL,36172,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 TERRA 1.2 SAFIRE,1172,5,PETROL,20082,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AQUA 1.2 SAFIRE,1172,5,PETROL,20083,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,AURA ABS 1.2 SAFIRE,1172,5,PETROL,19022,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,LE SAFIRE,1172,5,PETROL,18921,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AURA 1.2 SAFIRE,1172,5,PETROL,20084,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AURA ABS 1.2 SAFIRE,1172,5,PETROL,20085,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,TERRA 1.2 SAFIRE,1172,5,PETROL,12950,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDICA VISTA,AURA PLUS 1.2 SAFIRE,1172,5,PETROL,19025,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
MARUTI,ERTIGA,LXI (O),1373,7,PETROL,31677,,,,,,,,,,,,,,,,,,,
MARUTI,RITZ,ELATE VXI,1197,5,PETROL,32687,,,,,,,,,,,,,,,,,,,
MARUTI,GYPSY,KING SOFT TOP,1298,5,PETROL,32713,,,,,,,,,,,,,,,,,,,
FORD,IKON,1.6 ZXI CNG,1597,5,CNG,32994,,,,,,,,,,,,,,,,,,,
EICHER POLARIS PVT LTD,MULTIX,AX PLUS,511,5,DIESEL,32065,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LAND CRUISER,200 VX STANDARD AT,4461,8,DIESEL,33131,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,INDIGO ECS,LS,1396,5,DIESEL,25782,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,VENTURE,EX,1405,7,DIESEL,21363,,,,,,,,,,,,,,,,,,,
TATA MOTORS LTD,ZEST,XT REVOTRON 90PS PETROL,1193,5,PETROL,28485,,,,,,,,,,,,,,,,,,,
BMW,X3,xDRIVE 30D,2993,5,DIESEL,23059,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,TIGUAN,HIGHLINE TDI,1968,5,DIESEL,36533,,,,,,,,,,,,,,,,,,,
MARUTI,IGNIS,ALPHA PETROL,1197,5,PETROL,35642,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,LAND CRUISER,200 V8,4461,7,DIESEL,33130,,,,,,,,,,,,,,,,,,,
ISUZU,MU X,4X4 AT,2999,7,DIESEL,36673,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,NEO 3 Max 10 Seats,2499,10,DIESEL,33289,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS,TAVERA,NEO 3 LS 7 Seats,2499,7,DIESEL,33290,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN,VENTO,TRENDLINE MPI,1598,5,PETROL,21699,,,,,,,,,,,,,,,,,,,
BMW,5-SERIES,530i SPORT LINE,1998,5,PETROL,37084,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLE,400 4MATIC,2996,5,PETROL,36682,,,,,,,,,,,,,,,,,,,
BMW,3-SERIES,330i GT LUXURY LINE,1998,5,PETROL,36719,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN ESTILO,LXI CNG,998,5,CNG,20755,,,,,,,,,,,,,,,,,,,
MARUTI,ZEN ESTILO,CNG,1061,5,CNG,32721,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI PLUS,998,5,PETROL,35704,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ.,GLA,220 d 4MATIC ACTIVITY EDITION,2143,5,DIESEL,36186,,,,,,,,,,,,,,,,,,,
MARUTI,CELERIO,GREEN VXI (O),998,5,PETROL,36250,,,,,,,,,,,,,,,,,,,
SKODA,RAPID,MONTE CARLO 1.6 MPI MT,1598,5,PETROL,37127,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI PLUS AGS,998,5,PETROL,35709,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR LXI(O),998,5,PETROL,35700,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR VXI (O) AGS,998,5,PETROL,35703,,,,,,,,,,,,,,,,,,,
MARUTI,WAGON R,MINOR LXI,998,5,PETROL,35699,,,,,,,,,,,,,,,,,,,
TOYOTA KIRLOSKAR,COROLLA ALTIS,1.8 G CVT,1798,5,PETROL,36700,,,,,,,,,,,,,,,,,,,
BMW,7-SERIES,730LD DPE SIGNATURE,2993,4,DIESEL,36724,,,,,,,,,,,,,,,,,,,
BMW,X1,S DRIVE 20I XLINE,1998,5,PETROL,36728,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LIMITED 2.0 DIESEL 4X4,1956,5,DIESEL,36924,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LIMITED 1.4 PETROL AT,1368,5,PETROL,36916,,,,,,,,,,,,,,,,,,,
JEEP,COMPASS,LIMITED (O) 2.0 DIESEL 4X4,1956,5,DIESEL,36925,,,,,,,,,,,,,,,,,,,
