make,model,variant,fuel_type,cc,seating_capacity,output
ALFA ROMEO,156 GTA,STD,Petrol,"3,179",5,1110110101
ALFA ROMEO,VINTAGE,ROMEO,Petrol,"1,100",5,1110110201
ALFA ROMEO,VINTAGE,ALFA ROMEO,Petrol,"1,750",5,1110110202
ALFA ROMEO,VINTAGE,ALFA ROMEO,Petrol,"1,570",5,1110110203
ALFA ROMEO,VINTAGE,ALFA ROMEO,Petrol,"1,110",5,1110110204
ASTON MARTIN,DB9,Coupe,Petrol,"5,935",4,1110210101
ASTON MARTIN,DBS,Coupe 2STR,Petrol,"5,935",2,1110210201
ASTON MARTIN,RAPIDE,6.0 RHD,Petrol,"5,935",4,1110210301
ASTON MARTIN,RAPIDE,6.0 RHD Touchtronic,Petrol,"5,935",4,1110210302
ASTON MARTIN,VANTAGE V8,Coupe,Petrol,"4,735",2,1110210401
ASTON MARTIN,VANTAGE V8,S Coupe Sportshift,Petrol,"4,735",2,1110210402
ASTON MARTIN,VIRAGE,6.0 V12 Volante,Petrol,"5,935",4,1110210501
ASTON MARTIN,DB11,V8 Coupe,Petrol,"3,880",4,1110210601
ASTON MARTIN,DB11,V12,Petrol,"3,880",4,1110210602
ASTON MARTIN,DB11,V12,Petrol,"5,204",4,1110210603
ASTON MARTIN,DB11,V12,Petrol,"5,204",4,1110210604
ASTON MARTIN,VINTAGE,AUSTIN TEN,Petrol,"1,000",5,1110210701
ASTON MARTIN,VANQUISH,V12,Petrol,"5,935",5,1110210801
ASTON MARTIN,One 77,V12,Petrol,"7,312",5,1110210901
ASTON MARTIN,DBX,2020,Petrol,"3,982",5,1110211001
AUDI,A3,35 TDI Premium Plus,Diesel,"1,968",5,1110310101
AUDI,A3,35 TDI Technology,Diesel,"1,968",5,1110310102
AUDI,A3,35 TFSI Premium Plus,Petrol,"1,984",5,1110310103
AUDI,A3,35 TFSI Technology,Petrol,"1,984",5,1110310104
AUDI,A3,35 TDI Attraction,Diesel,"1,968",5,1110310106
AUDI,A3,35 TDI Cabriolet,Diesel,"1,968",5,1110310107
AUDI,A3,35 TDI Limousine,Diesel,"1,968",5,1110310108
